"","S_obs","S_std1_mean","S_std2_mean","S_n_mean","S_PIE_mean","S_cov_mean","S_chao_mean"
"S_obs",1,0.955650971246853,0.955581300542955,0.929832358841066,0.772329867303954,0.934710338329356,0.998057595542931
"S_std1_mean",0.955650971246853,1,0.999972658638567,0.970544591506899,0.730991131314433,0.956262949657493,0.954474634857292
"S_std2_mean",0.955581300542955,0.999972658638567,1,0.970478376560507,0.731141665455841,0.956153953445716,0.954460930925759
"S_n_mean",0.929832358841066,0.970544591506899,0.970478376560507,1,0.743489073482923,0.967512323019997,0.928213221888185
"S_PIE_mean",0.772329867303954,0.730991131314433,0.731141665455841,0.743489073482923,1,0.730320855725892,0.774077749742432
"S_cov_mean",0.934710338329356,0.956262949657493,0.956153953445716,0.967512323019997,0.730320855725892,1,0.930514760828371
"S_chao_mean",0.998057595542931,0.954474634857292,0.954460930925759,0.928213221888185,0.774077749742432,0.930514760828371,1
