dataset_label,frag_id,frag_size_char,frag_size_num,sample_design,N,N_std,S_obs,n_base,coverage,cov_base,S_std_mean,S_n_mean,S_PIE_mean,S_cov_mean,S_chao_mean,S_std_sd,S_n_sd,S_PIE_sd,S_cov_sd,S_chao_sd,exp_S_std_mean,exp_S_n_mean,exp_S_PIE_mean,exp_S_cov_mean,exp_S_chao_mean,exp_S_std_sd,exp_S_n_sd,exp_S_PIE_sd,exp_S_cov_sd,exp_S_chao_sd,z_S_std,z_S_n,z_S_PIE,z_S_cov,z_S_chao
Aguiar_2012,F5,2,2,standardized_fragment,316,316,7,136,1,0.9983189928560748,6.815,6.304348310672011,4.535551746713356,6.81719,6.892254746835443,0.41428633314308805,0.35931728953251313,0.1585254366181104,0.4758033501775718,0.4980376656481166,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,2.4643441985058705,1.2984521021734616,3.7464410776628823,2.1888256719720802,2.2333506016173494
Aguiar_2012,F3,4,4,standardized_fragment,212,212,6,136,1,0.9983189928560748,5.62,5.463402761826964,3.935289873890307,5.585425,5.62,0.4866044796320621,0.3797190927545904,0.18199187302028444,0.4817597812282021,0.4866044796320621,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,0.020450989199218405,-0.3294034974207727,2.05122474294547,-0.07494662896931616,-0.05769329140877571
Aguiar_2012,F2,5.5,5.5,standardized_fragment,129,129,5,136,1,0.9983189928560748,4.82,4.8217858772864455,2.2888622424718683,4.81442,4.837364341085271,0.3851515397122457,0.38610391364411395,0.17416274508617866,0.3992030674296305,0.4037070799184376,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,-1.6156281467382887,-1.5714097601662598,-2.598497555064633,-1.491921265273579,-1.4670436210350062
Aguiar_2012,F6,6.6,6.6,standardized_fragment,243,243,7,136,0.9959185050259731,0.9983189928560748,6.465,6.069024496045028,3.8704346898700224,6.57033,6.661687242798354,0.5920537460323638,0.4476310328815188,0.22666613841592811,0.7904019085154873,0.8314837783082406,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,1.74855957653321,0.8429253562568899,1.8680654047965684,1.7351394329488958,1.81815052209839
Aguiar_2012,F4,7.6,7.6,standardized_fragment,264,264,7,136,1,0.9983189928560748,6.575,6.181023386006871,4.81837313394336,6.60775,6.702017045454546,0.5154643708229888,0.38864736564144375,0.15982917705963662,0.651838773342121,0.6700830070675748,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,1.973520457724618,1.0597265753407168,4.545164863308145,1.8039109595803775,1.8907754019129421
Aguiar_2012,F8,12,12,standardized_fragment,75,75,6,136,1,0.9983189928560748,5.61,5.705126726306153,3.636474995001144,5.704435,5.7284,0.5091129343274412,0.6151067593524254,0.3560939450398126,0.6335177578589357,0.6489124140049201,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,0,0.13851230244758592,1.207333290424644,0.1437732904431011,0.13751066331944614
Aguiar_2012,F7,14,14,standardized_fragment,68,68,5,136,1,0.9983189928560748,4.94,4.976208652126901,2.960672323134089,4.96445,4.981875,0.23808279460185092,0.28727935906155866,0.3108694996424551,0.2967806280841627,0.30076807029082486,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,-1.3702162763476622,-1.2724867453834876,-0.7012199265350864,-1.2161919189207941,-1.2068125129119778
Aguiar_2012,F1,16,16,standardized_fragment,159,159,6,136,0.9875786163522012,0.9983189928560748,5.205,5.098257901445835,2.9227962696526872,5.31586,5.373930817610063,0.7109869988704534,0.6548600522422061,0.17533075968802084,0.9052600727950973,0.9384819376895521,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,-0.8282650625683636,-1.0362305999018162,-0.808186747956427,-0.5703607544748042,-0.5008083978594773
Aguiar_2012,F9,18,18,standardized_fragment,92,92,6,136,1,0.9983189928560748,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,5.61,5.633571666857016,3.208968412395733,5.626205,5.652038043478261,0.48897390256222745,0.5165971410822094,0.3540916050240343,0.5441205369849994,0.5553166182054177,0,0,0,0,0
Aizen_1994,small.fragment1,0.5,0.5,standardized_fragment,9,9,4,18,0.7037037037037037,0.8973512841141872,2.945,3.4023073762004095,2.3718499000999,3.08753,3.5705555555555555,0.7778174593052023,1.2415683235502186,0.9402364506123382,1.277098446207861,1.4946054535820774,11.005,6.968762252628532,6.384181067222916,8.457496666666668,13.838473225453408,1.133956623409618,0.5793454855912477,0.9428756339825138,1.1911765500631202,3.7283325259655715,-7.107855656563766,-6.15600702021247,-4.255419296578648,-4.5081198638288456,-2.7540241108828254
