dataset_label,frag_id,frag_size_char,frag_size_num,sample_design,N,N_std,S_obs,n_base,coverage,cov_base,S_std_mean,S_n_mean,S_PIE_mean,S_cov_mean,S_chao_mean,S_std_sd,S_n_sd,S_PIE_sd,S_cov_sd,S_chao_sd,exp_S_std_mean,exp_S_n_mean,exp_S_PIE_mean,exp_S_cov_mean,exp_S_chao_mean,exp_S_std_sd,exp_S_n_sd,exp_S_PIE_sd,exp_S_cov_sd,exp_S_chao_sd,z_S_std,z_S_n,z_S_PIE,z_S_cov,z_S_chao
Aguiar_2012,F5,2,2,standardized_fragment,316,316,7,136,1,0.9983189928560748,6.8,6.334239034223627,4.54014442169006,6.787075,6.864794303797469,0.4133452205563576,0.38014993194786895,0.17050102970883188,0.4710828426062554,0.484898433115315,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,2.395909976477542,1.3655080957139831,3.670996943796986,2.3650540964444082,2.4312004215471457
Aguiar_2012,F3,4,4,standardized_fragment,212,212,6,136,1,0.9983189928560748,5.655,5.490272402177396,3.9644722497686518,5.619235,5.655,0.4765611742093759,0.37499697029644974,0.18485847712605438,0.4710957288105227,0.4765611742093759,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,-0.04259395513737761,-0.4030591570088014,2.0795489021909677,-0.09157891327416325,-0.06682662746049112
Aguiar_2012,F2,5.5,5.5,standardized_fragment,129,129,5,136,1,0.9983189928560748,4.835,4.837806378592985,2.274611293745671,4.841135,4.8622868217054265,0.37211199481260626,0.37368270086022626,0.1642763875390866,0.406483271519414,0.41263741815537985,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,-1.7889461157698976,-1.7703289032402285,-2.5920785278325145,-1.7283666109570812,-1.7036494784764658
Aguiar_2012,F6,6.6,6.6,standardized_fragment,243,243,7,136,0.9959185050259731,0.9983189928560748,6.575,6.149623984988073,3.9027514759254114,6.6837,6.776666666666666,0.5797027482959776,0.45050853029774246,0.2164703029728703,0.7448628149299217,0.7878533865425981,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,1.9167279811820344,0.9786395655611001,1.9089215739124652,2.14759756354636,2.2492312879292635
Aguiar_2012,F4,7.6,7.6,standardized_fragment,264,264,7,136,1,0.9983189928560748,6.55,6.147310166167583,4.804237446267325,6.59357,6.679507575757576,0.5648853665894831,0.4256091724358391,0.17128650490527209,0.6985132704861278,0.7222310224389424,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,1.8634855372603103,0.9737908617862462,4.401083175623173,1.9580028132672673,2.048613681790715
Aguiar_2012,F8,12,12,standardized_fragment,75,75,6,136,1,0.9983189928560748,5.575,5.64752866796615,3.625810158376385,5.638275,5.665033333333334,0.5056216632341403,0.5892969613311076,0.3466515303940182,0.6061531469544756,0.6171313826854489,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,-0.21296977568689185,-0.07352209784195755,1.1433161843343171,-0.051526943393834984,-0.046109437786425234
Aguiar_2012,F7,14,14,standardized_fragment,68,68,5,136,1,0.9983189928560748,4.915,4.970377938547024,2.9236098288756995,4.959955,4.979044117647059,0.31347461086711864,0.3732249870967167,0.3362704082375439,0.38495859331600735,0.38914164614759755,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,-1.6185702952203833,-1.492519673971736,-0.7979194593290886,-1.4784204417774338,-1.4625647895209328
Aguiar_2012,F1,16,16,standardized_fragment,159,159,6,136,0.9875786163522012,0.9983189928560748,5.31,5.2022285690866505,2.9533765087441455,5.438175,5.498805031446541,0.6828112153288743,0.6331250624152428,0.18421808778207455,0.8816586552042023,0.9157768989492473,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,-0.7773396812571585,-1.006667014487621,-0.7156293527504805,-0.47245126970967105,-0.3893436496854176
Aguiar_2012,F9,18,18,standardized_fragment,92,92,6,136,1,0.9983189928560748,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,5.675,5.682613676580395,3.212240067602681,5.66277,5.687364130434783,0.46955019639509615,0.47720358428377996,0.361728537075245,0.4753823608898694,0.48429992152329576,0,0,0,0,0
Aizen_1994,small.fragment1,0.5,0.5,standardized_fragment,9,9,4,18,0.7037037037037037,0.8973512841141872,2.915,3.3390139333238906,2.342601898101898,3.02644,3.4883333333333333,0.7685887347704755,1.2003310976287187,0.9247091557736977,1.2270514384339453,1.4327316852400995,11.091666666666667,6.953603504344437,6.352315066219863,8.503454999999999,13.864995365406951,1.0989484413401893,0.5611564784522524,0.9115421715210758,1.143124147457356,3.3670644531411584,-7.440446120197468,-6.441322001645757,-4.398823546942454,-4.791268745553569,-3.08181271148319
