dataset_label,frag_id,frag_size_char,frag_size_num,sample_design,N,N_std,S_obs,n_base,coverage,cov_base,S_std_mean,S_n_mean,S_PIE_mean,S_cov_mean,S_chao_mean,S_std_sd,S_n_sd,S_PIE_sd,S_cov_sd,S_chao_sd,exp_S_std_mean,exp_S_n_mean,exp_S_PIE_mean,exp_S_cov_mean,exp_S_chao_mean,exp_S_std_sd,exp_S_n_sd,exp_S_PIE_sd,exp_S_cov_sd,exp_S_chao_sd,z_S_std,z_S_n,z_S_PIE,z_S_cov,z_S_chao
Aguiar_2012,F5,2,2,standardized_fragment,316,316,7,136,1,0.9983189928560748,6.81,6.308619051049398,4.531745008049276,6.809995,6.8847626582278485,0.40586157503569154,0.3592504835674176,0.15952705043766083,0.4693778679160824,0.48998882392891585,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,2.404111041352474,1.2855892309468488,3.800882541332173,2.195731441687434,2.2497446876723144
Aguiar_2012,F3,4,4,standardized_fragment,212,212,6,136,1,0.9983189928560748,5.625,5.4635250046542,3.9743151215586683,5.5908999999999995,5.625,0.48533778321813714,0.374495078860106,0.17830403833143524,0.47916926647026115,0.48533778321813714,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,0.030051388016905305,-0.3221040809483181,2.2259791291323108,-0.05896145042051834,-0.04015790093954529
Aguiar_2012,F2,5.5,5.5,standardized_fragment,129,129,5,136,1,0.9983189928560748,4.865,4.868031953819363,2.2820798270859552,4.8695200000000005,4.892286821705427,0.34258109849381085,0.34402839009723313,0.1608270348157003,0.3657935678375944,0.3734688164895339,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,-1.4925522715063289,-1.454960476270164,-2.5550833938851376,-1.3931399668682376,-1.3720292599835133
Aguiar_2012,F6,6.6,6.6,standardized_fragment,243,243,7,136,0.9959185050259731,0.9983189928560748,6.5,6.112147117710574,3.899602688816083,6.56972,6.654362139917695,0.6098026701174832,0.48556327355578965,0.23459957670990464,0.7563551594563106,0.7890894488960487,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,1.7830490223364188,0.9118241872203082,2.0148945279803545,1.751347423500798,1.8309398121268523
Aguiar_2012,F4,7.6,7.6,standardized_fragment,264,264,7,136,1,0.9983189928560748,6.65,6.216276980949386,4.824875942125594,6.69668,6.781998106060606,0.49874213637205833,0.3799233655612075,0.16719128352833096,0.6258716676137436,0.6481495799269197,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,2.083562902505479,1.1099191630536966,4.6290636623777965,1.9861575158906648,2.062946950425252
Aguiar_2012,F8,12,12,standardized_fragment,75,75,6,136,1,0.9983189928560748,5.605,5.692116538902333,3.653435614384701,5.696385,5.720933333333333,0.5002260795413074,0.6091624289496882,0.3340180892485483,0.6586039344609453,0.6742914191378592,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,-0.010017129338968435,0.11276477457633523,1.3194001261031894,0.13613104009417407,0.13422255628339874
Aguiar_2012,F7,14,14,standardized_fragment,68,68,5,136,1,0.9983189928560748,4.885,4.914818889986859,2.960530538853583,4.89625,4.9194852941176475,0.3198225010233083,0.3531278792092535,0.308217145549845,0.36689126933955235,0.3619607176939487,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,-1.4524837541504552,-1.3659537619507338,-0.6382605487751533,-1.3437033429742467,-1.322589905692248
Aguiar_2012,F1,16,16,standardized_fragment,159,159,6,136,0.9875786163522012,0.9983189928560748,5.255,5.153162238648215,2.9010745797744124,5.342885,5.399088050314465,0.649681019528567,0.6079941986017549,0.1767003449592989,0.8223830257124107,0.852148058489858,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,-0.7112161830667749,-0.9125332116438752,-0.8062411237294509,-0.5176604506101287,-0.4508037912622388
Aguiar_2012,F9,18,18,standardized_fragment,92,92,6,136,1,0.9983189928560748,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,5.61,5.6328410297411855,3.1864399517731963,5.62278,5.647092391304348,0.4991449976141362,0.5256562555447787,0.3539454433665722,0.5406922620225438,0.5501380995387745,0,0,0,0,0
Aizen_1994,small.fragment1,0.5,0.5,standardized_fragment,9,9,4,18,0.7037037037037037,0.8973512841141872,2.935,3.3346452881769952,2.4485422077922077,3.017475,3.461666666666667,0.7898699085050709,1.1670084096296505,1.0391205397028564,1.161800646879856,1.3589616569868224,11.023333333333333,6.950141707719739,6.420350164324928,8.460468333333333,13.792320213526311,1.111092182631041,0.5959414424954819,0.9787342762392777,1.1460370220546803,4.030340409203648,-7.279624012996243,-6.066865234951595,-4.0581065289693665,-4.749404450804587,-2.5632210925083796
Aizen_1994,small.fragment3,0.6,0.6,standardized_fragment,48,48,15,18,0.9208754208754208,0.8973512841141872,12.775,8.763055375783164,7.569213554853716,12.183725,15.705272817460317,1.265854231210437,0.6927710722325484,1.7325045312227978,1.9448155793192357,4.12914728934526,11.023333333333333,6.950141707719739,6.420350164324928,8.460468333333333,13.792320213526311,1.111092182631041,0.5959414424954819,0.9787342762392777,1.1460370220546803,4.030340409203648,1.5765268571314761,3.042100345416353,1.1738256423829567,3.2488101126012507,0.4746379733993697
